puzzle,heuristic,time,nodes,moves
GameP19.txt,Manhattan Distance,0.08939695358276367,484,22
GameP19.txt,Critical Path,0.09703731536865234,459,23
GameP19.txt,Blocking Mobility,0.10358929634094238,482,22
GameP19.txt,Two-Step Lookahead,0.21588897705078125,469,22
GameP20.txt,Blocking Vehicles,0.16731500625610352,649,10
GameP20.txt,Manhattan Distance,0.2100818157196045,728,10
GameP20.txt,Critical Path,0.14444327354431152,369,10
GameP20.txt,Blocking Mobility,0.1627652645111084,466,10
GameP20.txt,Two-Step Lookahead,0.36479616165161133,469,10
GameP21.txt,Blocking Vehicles,0.04972052574157715,246,21
GameP21.txt,Manhattan Distance,0.046431541442871094,239,22
GameP21.txt,Critical Path,0.04403805732727051,247,21
GameP21.txt,Blocking Mobility,0.045223236083984375,244,21
GameP21.txt,Two-Step Lookahead,0.07853865623474121,237,21
GameP22.txt,Blocking Vehicles,0.869251012802124,2853,26
GameP22.txt,Manhattan Distance,0.7727968692779541,2343,27
GameP22.txt,Critical Path,1.225550889968872,3423,31
GameP22.txt,Blocking Mobility,0.7684130668640137,2436,26
GameP22.txt,Two-Step Lookahead,1.99118971824646,2754,26
GameP23.txt,Blocking Vehicles,0.40058350563049316,1491,29
GameP23.txt,Manhattan Distance,0.3544306755065918,1451,31
GameP23.txt,Critical Path,0.3953230381011963,1299,31
GameP23.txt,Blocking Mobility,0.34480977058410645,1356,29
GameP23.txt,Two-Step Lookahead,0.8621726036071777,1535,30
GameP24.txt,Blocking Vehicles,1.3401908874511719,4096,25
GameP24.txt,Manhattan Distance,1.5306332111358643,4191,25
GameP24.txt,Critical Path,1.3256936073303223,3982,28
GameP24.txt,Blocking Mobility,1.6137101650238037,4187,25
GameP24.txt,Two-Step Lookahead,3.0843300819396973,4053,25
GameP25.txt,Blocking Vehicles,2.488948345184326,6919,27
GameP25.txt,Manhattan Distance,2.415104627609253,6732,30
GameP25.txt,Critical Path,2.439645290374756,5869,27
GameP25.txt,Blocking Mobility,2.492908000946045,6904,27
GameP25.txt,Two-Step Lookahead,5.016489744186401,6714,27
GameP26.txt,Blocking Vehicles,1.1496171951293945,3880,28
GameP26.txt,Manhattan Distance,1.0358753204345703,3397,29
GameP26.txt,Critical Path,1.5840606689453125,4304,29
GameP26.txt,Blocking Mobility,1.4455173015594482,4114,29
GameP26.txt,Two-Step Lookahead,2.6942520141601562,3934,28
GameP27.txt,Blocking Vehicles,0.5583312511444092,2358,28
GameP27.txt,Manhattan Distance,0.6464474201202393,2291,30
GameP27.txt,Critical Path,0.7030024528503418,2315,29
GameP27.txt,Blocking Mobility,0.6642098426818848,2358,28
GameP27.txt,Two-Step Lookahead,1.3556230068206787,2238,28
GameP28.txt,Blocking Vehicles,0.5831031799316406,1666,30
GameP28.txt,Manhattan Distance,0.38771939277648926,1228,33
GameP28.txt,Critical Path,0.4801361560821533,1610,31
GameP28.txt,Blocking Mobility,0.8822169303894043,1793,31
GameP28.txt,Two-Step Lookahead,1.0353164672851562,1230,30
GameP29.txt,Blocking Vehicles,1.4537007808685303,4290,32
GameP29.txt,Manhattan Distance,1.3961801528930664,4013,34
GameP29.txt,Critical Path,1.5889484882354736,4263,37
GameP29.txt,Blocking Mobility,1.5775742530822754,4233,33
GameP29.txt,Two-Step Lookahead,2.8854243755340576,4230,31
GameP30.txt,Blocking Vehicles,0.3261711597442627,1116,32
GameP30.txt,Manhattan Distance,0.23999905586242676,974,34
GameP30.txt,Critical Path,0.24040603637695312,1006,36
GameP30.txt,Blocking Mobility,0.23307585716247559,1033,32
GameP30.txt,Two-Step Lookahead,0.5171701908111572,1064,32
GameP31.txt,Blocking Vehicles,0.9707574844360352,3785,38
GameP31.txt,Manhattan Distance,1.0568687915802002,3765,41
GameP31.txt,Critical Path,1.077585220336914,3759,40
GameP31.txt,Blocking Mobility,1.0872151851654053,3707,37
GameP31.txt,Two-Step Lookahead,2.364037275314331,3735,37
GameP32.txt,Blocking Vehicles,0.10401749610900879,506,37
GameP32.txt,Manhattan Distance,0.13134980201721191,518,40
GameP32.txt,Critical Path,0.12404417991638184,484,39
GameP32.txt,Blocking Mobility,0.13931989669799805,501,37
GameP32.txt,Two-Step Lookahead,0.23506951332092285,515,37
GameP33.txt,Blocking Vehicles,1.0216355323791504,3111,40
GameP33.txt,Manhattan Distance,0.5941953659057617,1989,44
GameP33.txt,Critical Path,1.3997013568878174,3909,43
